"JOB1","DEM1","DEM2","DEM3","DEM4","DEM5","FAM1","FAM2","FAM3","FEED1","FEED2","FEED3","FEED4","FEED5","FEED6","FEED7","FEEDBACK"
"Nurse","Female","White","19","Student","Some college, but no degree","Unfamiliar","No","Very familiar","For the first interview, there wasn't an opportunity for the person to ask questions if they had any.","I think so ","I think that the 1st interview was reasonable and good for a first interview, but did not allow questions to be asked and there was not way to directly communicate with the interviewer. ","It made sense to me ","I didn't think any information was missing ","Nothing","I think I might experience both because the AI one could be a first time interview and then the second interview would be in person.",""
"Criminal Psychoanalyst ","Female","White","20","Employed part time,Student","Some college, but no degree","Somewhat unfamiliar","Yes","Familiar","I don't believe it's a good idea to allow AIs to score people based on their responses. It would be better for a real person to do the hiring process, AIs can be tricked. ","I don't think it would be understanding enough. I think that it's possible that AIs would disregard things. However, human judgment can also cause social and racial biases in the hiring process.","The first one was a fine interview, it's what I've usually encountered. The second wasn't as good because it would be better for a human to review the answers after the AI scored them, and not just the AI making the final choice. ","I wasn't sure how I was supposed to rate them, especially since I didn't know the specific details of the place.","How we were supposed to know what to rate them.","Just what I've said before. ","Yes, both. ",""
"baker","Female","White","19","Unemployed looking for work,Student","High School or GED","Somewhat unfamiliar","Yes","Somewhat familiar","my past successes and how I fixed my mistakes","yes","sometimes, an interview shows a fake persona of ourselves and not how we actually are when we work","yes","none","nothing","yes","I do not"
"Architect","Male","White","18","Unemployed looking for work","Some college, but no degree","Familiar","Yes","Somewhat familiar","The AI interview just made me feel uncomfortable with the fact it is a robot rating my answers and I feel like a human reviewing it would be able to get more information from it.","Not really. ","Because they are just asking you questions and not seeing how effective you are at what you do.","Yes, it was all good.","None.","Nothing.","I don't like the concept of an AI rating my response to questions as that would take a deep understanding of human culture that AI does not know yet.",""
"I would love to be a doctor and own my own practice maybe a gynecologist or pediatrition","Female","White","19","Student","Some college, but no degree","Somewhat unfamiliar","Yes","Somewhat unfamiliar","the lack of two way communication and human interaction deciding whether they got the job or not by an algorithm in the second interview ","yes its just a computer, the human brain is way more complex and I think can really only be judged by another person that has had experience in the workplace thats hiring, people perform differently with humans than they do recording themself","too two-dimensional, human interaction with an interview can give the employer a better idea of how this person acts in real world situations","yes","","","maybe if they were put together like you had to do the AI interview first and then come in for another interview that could add another layer of knowledge about the possible hire but not just the AI itself ",""
"Content creator","Female","White","19","Unemployed not looking for work,Student","Some college, but no degree","Somewhat familiar","No","Very unfamiliar","I do not trust AI to make any decision about human nature. All AIs that have been for workplaces have been horribly racist. I have my qualms about a traditonal interview because I am autistic and do not make good first impressions, I am too awkward. But at least the racism depends on the interviewer.","Yeah I'm autistic","I'm autistic I do not do well speaking, it would be best for me to just show my work and what skills I have","do not use an AI","none","could you change the written answer text boxes to expand downward rather than run out of space to the right? it's hard to write this way and check my work","The dream job I put down was self-employed LOL. If it wasn't I think I would have a human interview",""
"Financial Analyst for a Nonprofit","Female","Asian","19","Unemployed not looking for work,Student","Some college, but no degree","Somewhat unfamiliar","Yes","Somewhat familiar","Regarding the robot, I feel that not having the opportunity to interact with a physical person in order to voice concerns or ask questions was very concerning as a hypothetical applicant. It would essentially mean that I would have no more information leaving the interview than I would have going in, and learning more about the company you are applying for is a crucial part of attending interviews. In addition, I think the scoring system used in both is not ideal for actually gaging how well a person would perform in the job they are applying for.","I think there is a higher chance for hiring bias (pertaining to my identities, such as being a woman of color) with human judgement.","I did not think the interview was an accurate assessment because I feel that actual interviews should be more nuanced. Numbers and staged questions can only tell you so much about a person and their abilities. Having organic conversations and allowing full two-way communication allows both the interviewer and interviewee to get a better sense of each other, leading to more beneficial hiring decisions.","Yes, it made sense.","Nothing.","Some of the wording in the questions was a bit confusing and sometimes contradicted the suggested hypothetical interview situation.","No- interviewers in the real world understand the importance of live, intra-personal communication and how being able to have nuanced conversations and receive live responses are of utmost when considering a potential hire.","N/A"
"Computer Engineer","Female","Asian","23","Unemployed not looking for work,Student","Bachelor's Degree","Unfamiliar","No","Unfamiliar","None","Yes.","The interview can only show people's talent in communication and on-the-spot adaptability and only a few moment can not show the overall abilities of a person.","Yes. Maybe add some conversations of employers and empolyees and compare to the conversation between empolyees and computer empolyers. This will make the process easier to understand. ","None","Maybe add some cultural part so that it can show more difference with different region of people.","Yes",""
"Physical Therapist for a professional sports team","Female","White","19","Unemployed looking for work,Student","Some college, but no degree","Somewhat familiar","Yes","Familiar","In what way would the AI measure intelligence? Through qualifications, speech eloquence, concise versus extended answers? If this is the future of interviewing, I do not know that I would be excited for it because I prefer face-to-face communication with the interviewer. This may be a good form for people with social anxiety, but it also may aid in more rehearsed, perfect answers that are different from how these people may respond normally.","Yes: a major part of what makes a good candidate is whether you are personable or not for a multitude of positions. Additionally, questions asked to the interviewer by the potential candidate are vital in determining true interest about the position or if you're simply interviewing at 20+ places and this was just an interview you completed.","A time limit should not be present on answers so that you can answer it above and beyond. Additionally, taking out true communication does not let me determine if the people at this company would be a good fit for me.","It made sense to me; I do not know that I would change anything.","I do not think I noticed anything missing from either interview","Possibly not put a time limit on AI response and take facial engagement into account.","I think I would only experience human from my experience applying to jobs/internships.",""
"Teacher","Female","White","19","Employed part time","Some college, but no degree","Somewhat unfamiliar","Yes","Somewhat familiar","","","","I feel like there was not enough information to answer these questions.","Things such as what questions were being asked and the overall environment of the place.","Make questions relevant to the article.","Yes",""
"I would love to become a product developer in food industry ","Female","Asian","21","Employed part time,Student","Bachelor's Degree","Somewhat unfamiliar","Yes","Somewhat familiar","I’m concerned about if the AI interview, like what if someone is not able to use computer. Maybe due to some elderly people do not know how to use it, or might due to other reasons","I am not sure ","I think this is not an accurate. Because we are just talking about what we think we know how to do it, the reality might be totally different thing.","It make sense. But I guess use pictures would be more easy to understand(such as comics)","I don’t think there is any information missing ","Might change story from text form to picture form","It might happen. Especially during pandemic time",""
"neurologist ","Female","White","19","Employed part time,Student","Some college, but no degree","Unfamiliar","Yes","Familiar","I was concerned about the AI interview style where the scoring system did not take into account any body language or the person's mannerisms.  I think content of an answer to a question is definitely important, but you can also gauge a lot about a person's confidence and competence by the way they present themselves in the interview.","Yes, I definitely think they could. ","I think the human, in-person interview was a fairly accurate assessment of my ability as there was much greater two-way communication and room to ask questions.  In contrast, the AI interview style felt like it produced less authentic and captivating answers to the questions as I was more worried about saying the perfect thing, as opposed to just what came to mind first.","Yes the interview process explained in the story made sense.","The only information about the interview process explanation in the story was the context of the questions asked.","I would possibly include a question about which type of interview an individual given the choice between the two would choose.","I would most likely expect to experience the human interview process if applying for my dream job in the real world.",""
"Corporate worker at prominent popular company ","Female","White","19","Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","What gave me the largest concern was the artificial intelligence. I   do not feel that a computer would be able to do the job as well as an actual interviewer, and I   do not think the person being interviewed will feel heard at all or be able to get their questions answered. ","I  do not. ","I   feel like the first hypothetical situation was a good interview and would be able to reflect my work and character. I   do not think the AI was an accurate way to assess my abilities to do a job. ","I   think it was quite easy to understand. I   do not think you need to change anything. I   would maybe put more emphasis that it is artificial intelligence in the second interview. ","I    think most of the information was covered in the story. It is hard to recall the story while answering the questions though.","I   would change how you cannot access the story throughout the questions. I   think it is a lot to remember when answering a plethora of questions. ","I   think I   would experience human because my dream job is very personal and team oriented. ",""
"Diplomat","Female","Asian","18","Student","Some college, but no degree","Somewhat familiar","No","Very unfamiliar","The fact that it was going to be scored by an AI, and not a human being","Maybe. They might hire someone else over me.","In some ways, the interview would've been much more accurate, since you have the opportunity to change your answers. However, I feel like using AI may not be the best way, since AI could make mistakes that could prevent me from getting hired.","I wish there were pictures to help me visualize the scenarios better.","There wasn't much that was missing.","I would put in the ability to go back to read the scenarios.","There is a possibility that I might experience more AI interviews in the future.",""
"Orthodontist ","Female","Asian","18","Unemployed not looking for work","Some college, but no degree","Very familiar","Yes","Very familiar","I didn't like the video recording interview it seemed a bit strange","human judgment ","I think the human interview was the best because you were able to connect with your employer on a more personal interview ","It was a little wordy and hard to follow ","n/a","n/a","both ",""
"real estate agent ","Female","White","20","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","none","yes","How someone answers a certain question or how they look won't depict how well they do their job","yes it was very wordy though","none","less words","yes",""
"Animator at Pixar","Male","Black or African American","21","Employed full time","Some college, but no degree","Somewhat familiar","Yes","Very familiar","The video recorded interview, as it does not allow a person to get to know the company. Also you cannot allow the interviewer to fully get to know you because you are reciting answers to question you probably memorized for multiple hours. ","Human judgement because its harder to get to know someone and understand who they are, while AI do not understand the human experience. ","Online interviews mean the company is very popular and do not have time to meet each candidate in person. However, you would most likely be spitting out answers to questions you memorized. Furthermore, its all a one way conversation. ","It made sense","online interviews sometimes have limited attempts to certain questions. ","Maybe adding a specific scenario as an additional set of questions.","Yes, I have before for other jobs. I was able to make a better impression with the in person interview and a horrible one with the online process.",""
"Lawyer","Female","White","19","Unemployed looking for work","Some college, but no degree","Somewhat unfamiliar","Yes","Somewhat familiar","it was hard to follow","yes, I do not know enough about artificial intelligence to really speak on this though.","because it was artificial intelligence. AI cant see everything","not really, I was kind of confused for most of it honestly. I would maybe explain it on a video we watch before answering questions to make it more clear to the participants.","none.","like i mentioned, i would explain the interview processes on video instead of a long information sheet.","I would for sure experience the human interview process as that is the current standard. I dont know how i feel about the AI process and im not sure if i would do an actual AI interview unless i was really wanting to work at the particular company.",""
"Oncologist","Female","Other","19","Employed part time,Student","Some college, but no degree","Familiar","Yes","Familiar","How there was no personal connection or ability to make connections at what I consider to be my dream job. The fact that it was pure AI, and email for a job interview and I couldn't ask a question. ","Yes, there wouldn't be any recognition or difference in an AI compared to a human who can tell who is qualified and who is not.","There was no human reasoning between qualified applicants compared to answers and questions in a AI system where my abilities were not actually being assessed through videos.","Yes the process in the story made sense to me. ","None from my perspective. ","I have no comments or anything that I'd like to change about the study.","I think for my dream job it would most likely be a human interview not AI since it is in the medical field and not a company that would not care about its employees as long as they get the job done. Quantity over quality essentially.","Thank you. "
"Elementary School Teacher","Female","Other","18","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Familiar","During the second interview it seemed as though the person giving the interview wasn't actually in charge of hiring the person. Which in my opinion makes absolutely no sense, if they are not hiring me why am I talking to them. ","No","I don't feel that an interview can accurately assess someone's skill proficiency of completing a job. A person could be terrible with interviews but have a passion and love for what they are doing which is something you can't teach. Another interview can put on a complete fake persona and just be in it for the money and truly not care about what they are doing. ","Yes, it was pretty straight forward ","None","Nothing","I think there are many cases where I would run it something very similar to the second interview",""
"Fashion Designer","Female","White","20","Employed part time,Student","Some college, but no degree","Somewhat unfamiliar","Yes","Familiar","Traditional interviewing appear to be very boring and cookie cutter on paper. AI is concerning because there is less authenticity on the end of of the interviewee because they may have multiple chances to create a perfect answer to a question. It also does not feel very personal as there is not interviewer to connect with.","I think both can threaten my identity in the sense that I might construct a perfect answer on AI but that is not how I am in person.","I think AI technology is not an accurate assessment of my ability because it lacks authenticity.","One question asked me to select ""Agree"" but the only options were ""Strongly Agree,"" ""Somewhat Agree,"" ""Neither agree or disagree,"" ""Somewhat Disagree,"" and ""Strongly Disagree.""","No information appeared to be missing. Some question I could not answer because I felt like I did not have enough perspective on AI technology.","I would have participants attend an AI and traditional interview, followed by a survey.","I think I would experience traditional interviewing before I would AI.",""
"Nuclear engineer","Male","White","19","Employed part time,Student","Some college, but no degree","Very familiar","Yes","Familiar","Not sure how fair the scoring is","I don't feel threatened","No real part of the job was exercised","Understood well","If we would be asked for the job","N/A","Human","N/A"
"Owner and Veterinarian of Animal Hospital for large and small animals","Female","White","19","Employed part time","Some college, but no degree","Somewhat familiar","Yes","Very unfamiliar","The AI interview does not treat the interviewee as if they were a real person.  ","Yes","Because both interviews only assed my ability to speak not actually do the job. ","Yes they both made sense, I would however let the participator know what type of job they are applying for for the second and third rounds of questions at least. ","none","","no ",""
"Teacher","Female","White","19","Employed part time","Some college, but no degree","Somewhat unfamiliar","Yes","Somewhat familiar","There will always be bias with a human interview vs AI.","I think humans naturally judge one another so, yes, there will be people judging when it comes to human interviews.","AI can not 100% see your true abilities.","Yes.","The environmant of the job, the people who work there, and things like that.","Make situations more specific. ","Yes.",""
"National Geographic wildlife photographer / journalist ","Female","White","19","Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","The fact that artificial intelligence was rating my interview and judging my responses rather than another human being in real time. ","Personally, no. ","Artificial intelligence does not have the same judging capacity as a human would in real time. Technology isn't this evolved yet in my opinion, which would dissatisfy me. ","Everything was explained in clear detail in a way that made sense. ","None to me.","I would specify what exactly you're looking for after the hypothetical interviews are posed in the areas where you can choose strongly agree to strongly disagree. ","Yes- both these scenarios are very real-life and very possible. ",""
"I want to be a Graphic Designer or Creative Director","Female","White","19","Unemployed looking for work,Student","Some college, but no degree","Somewhat familiar","No","Somewhat familiar","The bias presented both in the in-person interview and even in the AI interview, how am I to know if my answers are being accurately scored?","Yes, being a woman, that identity could be looked down upon if I am assumed not right for the job based off of that.","Because it is not necessarily how I would be working in real life.","Yes, it made sense to me and I felt as though I was actually answering a question about something I have done before.","None","The length or make it about a specific job so the questions can be answered more accurately.","I would experience both, but prefer human interaction.",""
"Therapist","Female","White","20","Student","Some college, but no degree","Familiar","Yes","Familiar","The AI interview would make me wonder how well the program would understand and ""grade"" my answers. With a person interviewing me I would feel more understood and less afraid of technical error. However with the human, I could be judged (subconsciously or purposefully) for how I looked.","I don't think any of my identities could be threatened, however, I know there are people who's identities could be threatened by human judgement.","The AI was an accurate assessment of my ability however, it allowed me to change my answer and have more time to formulate a better answer than the human interview. The human interview assessed my ability to quickly think of answers (which may have lead to more honest and/or worse answers)","The process made perfect sense. I would not change anything","None","I would not change anything","I think there is a chance I will encounter both. Specifically for my dream job (Therapist) I would assume they would opt for more personal contact due to the nature of the job.",""
"Elementary Teacher","Female","Prefer not to respond","18","Employed part time,Student","Some college, but no degree","Very unfamiliar","Yes","Familiar","The second interview very much concerned me because I don't think a robot can accurately judge a person during the interview process. I think it is extremely unfair that the robot reviewing these answers and only listening key words. ","Possibly ","Having a robot judge a person based on key words is completely unrealistic way to find a potential employee. ","Yes","","No","I think I would experience the human interview process. ",""
"Musician","Male","White","20","Employed part time,Student","Some college, but no degree","Familiar","Yes","Familiar","If I was hypothetically ""interviewing"" to be a musician (however that would be, my dream job doesn't really apply to this survey), doing so over a video call would be pointless.","Yes","Unless the ""interview"" was an audition for a band in person, it's not going to be able to accurately assess my abilities as a musician. Again, this survey doesn't really apply to my dream job.","No. You need to make it clear from the question asking about the dream job that it's a company job. This doesn't apply to people that would work in jobs that are separate from companies (i.e. being a musician).","N/A","I wish I would've known it was talking about a company job as opposed to any dream job. There's so many possibilities for jobs that are separate from companies, such as someone wanting to, again, be a musician or maybe even a freelance photographer. An interview with a company makes no sense for these.","No.","Again, not relevant to people not wanting to work at a company."
